,United States *,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,0
Unit,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,
,8577552,104811.9,25810.8,132281,59846.3,1071117,136898.7,138331.8,33353.4,52503.6,401535.3,242540.8,37707.4,29496.9,415534.8,170431.9,82720.4,74662.3,104546.2,116313.2,30618.4,159372.1,237267.4,299817.7,156351.4,58352.7,163175.6,19290.4,49819.2,60259.1,38206.6,307817.1,52475.6,718814.3,233934.9,15760.8,343430.3,79044.4,100914.8,356988,28928.8,97425,19031.4,154382.1,610157.3,57684,15454.7,215101.7,193825.9,38777.5,153431.7,14654.5,
,9062817,110212,24227.5,143302.6,62396.7,1147520.4,150330,145475.5,37106,54815.3,429138.4,265347.2,37622.9,31059.8,436567.1,184359.8,84644,78382,109382.3,120198.1,32156.2,169982.1,249299,312688.1,166904.8,60940.4,169483.4,20429.1,51822.1,65114.2,40554,319861.3,50658.7,745502.4,246890.4,16816.6,361638.1,81196.9,105146.8,373748.5,30818.5,103456.3,20228.1,167394.6,645142.6,62296.1,16080.7,231384,209741.1,40014.6,162609.3,14840.2,
,9631172,115680.1,24744.3,155755.8,66811.3,1241899.7,163763.3,152287.5,40345.1,58819.2,458058.9,289187.9,38990.6,34239.9,460331.1,193147.3,87782.4,81883.8,115106.8,125807.3,34413.2,180261.6,264644.4,338312.4,175759.3,63879,177738,20812.2,53685.2,71595.9,41955.2,336064.9,53017.3,795230,265375.7,17067.2,376465.2,84223.9,107621.5,390916.8,32267.2,110241.7,21078.7,176281.9,679870.3,66019.3,17176.9,249801.1,229797.9,41714.3,172224.1,15679.7,
,10250952,119851.7,26806.6,165110.7,68678.5,1356975.4,180063.2,165614.3,43451.3,61092.9,490429.8,305572,41096.8,38083.1,487014.6,203801.1,93112,86099,114169.2,132640.8,36890.3,192021.4,288791,352152.4,191515,65673.1,186650,21876.7,56527.5,76833.1,45342,361005.4,55105,841181.3,278008.5,18100.1,392277.2,91093.9,117154.6,409159.9,34466.8,115320.6,22743.3,182247.2,738677,70295.9,18341.1,268470.9,237378.2,42495.6,180427.3,17152.5,
,10581929,122915.5,28494.1,171909.6,70616.7,1375761.3,186695.8,171216.6,46096.1,65442.9,519058.6,317475.5,42585.4,37489,501552.8,205470.9,94837.8,88883.6,117647.9,137901.2,38605.7,205981,296868.7,349885.8,196006.1,67174,190657.1,22847.6,59607.2,80429.2,46817.5,373698,55789.7,878346.5,288069.5,18889.1,396944.5,97059.6,116963.6,427108.6,35862.8,119478.1,23412.1,186441.3,773375.5,73057.6,19323.2,285635.9,238418.6,43973.3,188163.1,18708.3,
,10929108,127505,29756.8,180522.3,74113.9,1418429.6,190019,173248.3,45508.3,69919.5,553010.3,327051.3,44644.2,38673.2,514361.1,212837.8,98557,91584.2,122435.3,139800.9,40466.2,217837.1,301836.4,363660.8,203713.8,69259.9,197557.7,23942.1,61417.3,85008.7,49059.9,386132.5,57808.3,890258.1,297846.4,20194.7,411034.5,99479.2,120665.5,440971.7,37809.2,124863.9,26322.1,195764.3,789817.6,75796.9,20273,295355.7,245978.5,45580.8,194658.8,19165.6,
,11456450,134152.6,32037.9,193634.9,78695.1,1497918.7,196126.5,178702.2,47686.1,73957.1,590483.1,342576.2,48166.1,40490.6,533022.5,225442.7,105123.3,95359.9,127982.2,155092.4,42315.2,228959.3,311188.6,374174.2,215721.8,73961.9,205588.5,25714.9,66402.1,90633.6,51637.6,400984.7,62651.1,912474.6,310388.9,22061.1,423780.2,105713.5,126671.5,460270.6,39638,131566.5,27216.1,205126.4,833342.3,78945.4,21293.2,311665.7,255370.2,47039.9,203339.2,21193.6,
,12217196,147715.2,35302.4,206541.1,85199.6,1588177.4,204167.2,195354.9,51353.7,80140.1,646630.6,364782,52353.5,44327.9,563060.8,239743.6,117188.5,99083,135529.3,171006.1,45210,245124.5,326737.1,385621.1,231267.1,77998,217084.2,28160.5,70469.2,103231,54918.2,414848.6,69956.6,967151.9,329878.9,23259,446225.3,113873.8,135646.8,487306.1,42363.9,136982,29271.3,219327.9,913444.4,86081.9,22938.2,332115.1,268378.3,49741.4,215537.1,23429.4,
,13039197,158846.8,40356.6,227915.9,90887.7,1698560.4,220783.7,205214.6,52153.5,84867.6,705851.9,389537.7,57369.4,48642.8,589811.8,248170.5,123190.9,105526.3,145011.1,199594.7,47078.5,262100,341993.2,400268.9,245380.5,82448.5,227971.3,30875.8,74564.5,116166.2,56952.6,435736.7,73911.4,1016037.5,355469.7,24700,468891.6,125081.6,143507.8,511731.4,44374.1,145403.6,30997.4,231633.5,995252.4,95355.1,23608.6,358069.7,293676,53492.5,227297,27576.3,
,13815583,166469,45094.1,245957,95875.1,1812210,232646.7,219768.4,55174.4,88125,750523.8,406015.6,60846.5,51125.8,624242.9,259602.8,127896.3,114091.9,153408.4,207773.8,49045.4,274145.3,359270,401869,252295.9,87099.5,236386,33166.1,78813.8,125848.3,60017,457593.1,77610.4,1075154.6,387525,26500.7,482738.1,137436.5,153593.1,531274.1,47204.4,153647.7,32364.5,243583.9,1103197.6,106537.3,24331.5,376235.7,314265.2,57010,237569.3,32740.3,
,14474228,172975.2,49583.7,261392,98381.6,1898902,248446.5,234540.7,56612.8,93785.4,782712.5,419606.3,64163.6,53934.5,650145.2,273509.5,137930.2,123878.7,157163.7,203041,50459.3,282965.6,378519.1,409615.4,262063.1,91191.4,244331.3,36233.2,83834.8,131620.9,61782.1,474867.9,80799.8,1119381.5,401490.9,29075.4,497761.5,145752.1,159585.2,565831.8,47340.8,162746.3,35073,248692.4,1191093.1,114813.4,24797.7,391699.8,342024.2,59273.5,245839.5,36950.8,
,14769862,174526.3,55122.5,262926,99706.8,1944695.3,258871.7,238936.8,55459.8,99496.5,763341.5,416377.6,65678.2,56200.8,654657.5,275538.7,137548.5,128604.3,159883.8,212392.4,50713.2,295400.2,390778.4,390420.9,267420.6,94514.5,254045.8,37224.9,85628,130609.5,61700.2,496227.2,84688.4,1116591,418793.4,31874.4,496919.4,160763.7,164925.4,588024.6,47277.5,163886.2,36603,254242,1244294.9,117178.9,25999.3,404634.9,354794.1,62694.8,246814.5,42819.3,
,14478067,170930.9,49957.8,246424.3,97508.1,1890165.9,251227.7,233290.7,57849.7,100446,735421,409590.8,64549.7,54064.1,649862.7,263326.8,136894.6,125348.9,157479.8,204906.9,51123.8,299102.7,390504.8,368733.8,262088.9,91792.2,253317.7,36187.8,86870.4,122127.1,62522.9,482458.9,82461.5,1160081.3,411155.8,32226,482281.1,146633,159607.3,582144.8,47702.2,161813.5,36432.9,252332.8,1169607.7,113985.4,26099.2,410967.4,351245,63600.7,247210,36252,
,15048970,177249.2,53331.6,251153,101486.5,1954092.7,258300.2,234700,58163.5,106146.9,746928.9,418091.3,66872.9,55587.6,666404.8,282562.2,142233.9,128591.3,166408.7,225308.9,52256.2,314728.3,411136.1,390043,274231.3,93943.1,259816.1,38336.1,91561.5,124669.4,64843.6,492762.4,84611.5,1223529.7,420027.6,35676.2,500515.3,154287.4,164137.2,604736.8,49468.3,165860,37852.5,257776,1245959.4,118669.8,27406.6,426992.4,365497.8,65998.7,256432.9,37680.7,
,15599731,183916.6,56896.3,260915.7,105768.1,2023500,267516.1,233158.7,61372.2,109730.4,755240,431653.9,69083.9,56941.1,692880.8,291356.1,148477.6,136358.9,171586.9,229945,52575.5,326281.2,425523,404554.7,287039.3,96218,262067.1,40995.1,99921.1,127677.9,66153.2,495965.8,87062.8,1247605.8,431722.7,41587.7,528189.9,166235.8,170630.9,624819.7,50206.1,172075.1,41892.1,269814.2,1341334.4,125565,28418.7,435180.3,379574.9,69234.1,266364.4,39751.4,
,16253970,189245.5,58283.6,271440,108492.1,2113096.4,276823.1,240911.9,62354.6,112157,778545,447764.7,71905.3,58323.9,726399.1,300513.9,158538.4,141818.2,178143.7,235384.7,53679.7,332523.5,442916.9,422691.2,298328.3,100448.4,271535.1,42340.9,102725.9,129312.9,68498.1,517195.9,87925.2,1328233.5,445095.3,51832.6,545740.1,174874.4,174611,647925.9,51583,177618.1,43901.5,286341.5,1421180.1,129512.5,29241.3,445973.6,400530.6,70322.2,277107.1,38855.4,
,16843196,194786.9,57247.7,278591.6,113227.3,2220389.9,292140.5,241517.4,61716.2,114540.1,811751.7,464752.8,74554.9,61835.8,741121.5,312138.5,162200.3,144483.2,184524.4,230832.5,54470.1,340577.6,454321.2,437274.4,311126.4,102371,280571,43687.9,107260.7,132086.4,70476.2,534177.8,88756.9,1365529,462268.9,54271,566532.4,182694.7,179527.7,668569.1,53034.1,185009.1,45361,295862.7,1515195.6,135450.4,29289.6,457640.5,419092.4,71481.5,284270.9,39289.8,
,17550687,197406.9,56484.9,287666.6,116139.4,2335286.5,309542.6,246597,68354.7,119414.6,851692.4,490079.3,76773.3,64575.2,771356.1,327958.3,173095.9,150183.6,187983.8,240737.3,56410.8,352761.3,470468.5,451773.2,324751.4,104300.3,287507.5,45177.2,111945.9,136008.7,72995.2,542842.8,92185.7,1430923.3,483191.3,59926.3,595640.9,196631.6,188120.7,694142.6,54559.7,194352.7,46785.4,306153.1,1579299.5,142150.1,30099.4,465181.8,440648,72648.2,295696,40310.6,
,18206023,202372.4,51490.9,299393.3,117786.8,2473555.9,320721.1,259487.8,71913.9,124604.7,908519.9,521008.2,81230.3,65899.9,799930.5,331945.7,180299.3,154958.2,193413.1,235113.5,58131.3,369728.1,498851.3,474983.3,335530.2,105914.6,296929.3,46604.1,116514.6,145115.9,76478,563233.8,90274.3,1487627.6,508928.7,55996.9,611019.5,186815.6,200659.6,714202.9,56390.8,205816.7,48070.2,325294,1573498.4,149153.4,30933.3,483786.5,466689.7,71318.5,307507.9,38426.9,
,18695106,207368.4,50727.7,313081.4,119152.4,2569634,329911.7,263670.3,69355,129648.6,953352.5,547546.7,83914.4,68837.4,807043.2,340500.7,181011.4,160451,196484.9,227090.7,60254.4,387733.4,514637.6,490264,344060.8,107291.4,300914.5,45490.9,118145.9,151840.4,79090.1,575501,89769.4,1551354.1,526029.8,51989.2,623265.3,181244.4,211305.9,726561.9,57353.5,215120.2,49151.4,336413.9,1579014.9,157827.3,31661.2,496021.1,487275.1,70924.4,314073.3,35879,
,19477337,214606.3,53301.5,332001.8,122466.7,2728743.1,349156.5,271443.2,68302.5,133243.5,1003144,573777.2,87217.4,71730.3,824913.4,352601,184561.3,165182.5,201872.2,241213.4,62253.6,400157,531008,502130.4,353664.9,109600.8,308002.3,48533.9,121726.6,160653.1,80598,587421,92273.6,1604649.9,548522.1,55394.7,645636.8,190553,222601.6,746441,58085,223266.7,50232.5,350838.7,1673234.3,168649.9,32266.1,511114.9,519409.6,74820.1,318310.4,36980.7,
,20533058.0,223859.3,54899.6,351879.5,127535.7,2897200.7,372212.1,279923.0,72168.3,139722.5,1057255.4,602366.4,90330.8,77395.4,865661.0,373196.8,191516.6,172343.0,208558.6,256677.8,65477.1,410812.2,563054.3,520245.1,372011.3,112201.7,318153.5,50916.9,127015.5,170257.6,83869.8,614106.5,97268.0,1697661.4,567836.2,59248.7,667115.6,202712.5,237113.7,773977.4,59290.8,233251.4,52299.3,363055.5,1809396.7,184457.5,33066.8,532906.5,564313.9,79192.9,332498.6,39171.7,
,21380976,231561.9,54728.2,372393.5,131578.3,3042694.1,394534.7,288536.3,76923.7,143990.8,1111392.2,637992.5,91912.7,82847.2,889540.1,381132.3,195708.7,176564.4,218494.7,255481.9,68690.4,420371.3,589904.3,532217,383956.6,114234.4,332485.8,51925.4,131866.9,182186.3,87338.2,637630.4,102027.5,1787666,594521,59199.2,697166.8,204192.5,247233.1,799888.8,61642.8,245987.2,54001.3,380128.5,1858757.8,196538.9,34230.8,557764.4,595231.8,79325.6,345236.4,39428,
,21060474,230892.1,50475.2,382072.3,133969.1,3020173.4,391263.3,276223.3,75818.6,144720,1116726.8,625425.7,82535.5,85927.8,856942.9,373781.6,196982.9,177580.9,216865.6,232527.8,70740,410931,585150.3,520105.3,376814.4,115123.4,330249.9,52355.8,134580.8,172562.6,88337.7,620085.9,98790,1740804.7,598915.9,54422.9,684382.5,190063.6,247966.7,771613.2,60770.6,245359.5,55681.2,379007.1,1789933.4,202133.4,34018.6,556992.6,612969.1,76547.9,340591.1,36330.4,
,23315081.0,254109.7,57349.4,420026.7,148676.1,3373240.7,436359.5,298395.2,81160.0,153670.5,1255558.3,691626.9,91096.1,96282.8,945673.8,412975.2,216860.2,191380.6,237182.0,258571.3,77963.3,443929.9,641332.2,572205.8,412458.6,127307.7,358572.0,58699.8,146285.4,194486.6,99673.3,682945.9,109582.8,1901296.5,662120.8,63559.6,756617.2,215336.3,272190.9,844496.5,66570.9,269802.5,61684.7,427125.5,2051768.6,225340.3,37103.8,604957.6,677489.5,85434.2,368611.3,41510.2,
0,1997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.0
